Title,nepa_document_summary__c,nepa_document_type__c,nepa_process__r.nepa_federal_unique_id__c,PathOnClient
ARTURO MINE ROD Final Signed 2014-May 7,"ARTURO MINE PROJECT RECORD OF DECISION, PLAN OF OPERATIONS AMENDMENT APPROVAL, AND APPROVAL OF ISSUANCE OF RIGHT-OF-WAY GRANTS",OTHER,SAMPLE-13839469,ARTURO_MINE_ROD_Final_Signed_2014-May_7.pdf
01 Cvr Letter Abstract Exec-Sum Acronyms TOC,Draft Environmental Impact Statement for the Arturo Mine Project,OTHER,SAMPLE-13839469,01_Cvr_Letter_Abstract_Exec-Sum_Acronyms_TOC.pdf
DEIS Federal Register Notice of Availability 2013-00952,"Notice of Availability of the Draft Environmental Impact Statement for the Arturo Mine Project, Elko County, NV",OTHER,SAMPLE-13839469,DEIS_Federal_Register_Notice_of_Availability_2013-00952.pdf
