Title,nepa_document_summary__c,nepa_document_type__c,nepa_process__r.nepa_federal_unique_id__c,PathOnClient
EA-2205 DOEEA 2205 Request for ACHP request-achp-review-ltr-exhibit-13-ea-2205-apex-integrated-sustainable-battery-active-material-precursor-prod-plant-project-2024-02,Exhibit 13 Facility Site Plan,OTHER,SAMPLE-A8F2A17D,EA-2205/DOEEA_2205_Request_for_ACHP_request-achp-review-ltr-exhibit-13-ea-2205-apex-integrated-sustainable-battery-active-material-precursor-prod-plant-project-2024-02.pdf
EA-2205 DOEEA 2205 Request for ACHP request-achp-review-ltr-exhibit-25-ea-2205-apex-integrated-sustainable-battery-active-material-precursor-prod-plant-project-2024-02,"Exhibit 25 NexGen Battery Materials, Hopkinsville, KY: Tribal Nations and State Historic Preservation Office (SHPO) Consultations Summary",OTHER,SAMPLE-A8F2A17D,EA-2205/DOEEA_2205_Request_for_ACHP_request-achp-review-ltr-exhibit-25-ea-2205-apex-integrated-sustainable-battery-active-material-precursor-prod-plant-project-2024-02.pdf
EA-2205 DOEEA 2205 Request for ACHP request-achp-review-ltr-exhibit-15-ea-2205-apex-integrated-sustainable-battery-active-material-precursor-prod-plant-project-2024-02,Exhibit 15 Proposed Project Location,OTHER,SAMPLE-A8F2A17D,EA-2205/DOEEA_2205_Request_for_ACHP_request-achp-review-ltr-exhibit-15-ea-2205-apex-integrated-sustainable-battery-active-material-precursor-prod-plant-project-2024-02.pdf
